comm_id,comm_name,comm_age,sso,migration,exec_spsr,acct_geo,plat_tier,gold_tier,silv_tier,#_lang,#_features,enabled,case_count
a0C00000000DhSH,78,7.87,0,0,1,NA,1,0,0,1,3,1,814
a0C00000002EHbK,79,3.19,0,0,1,NA,1,0,0,1,1,0,65
a0C00000002vycj,80,1.81,0,0,1,APAC,1,0,0,1,0,1,111
a0C00000000rxzj,81,4.75,0,0,1,APAC,1,0,0,2,10,1,287
a0C00000000DgKH,82,7.98,0,0,1,NA,1,0,0,2,4,1,707
a0C00000000DgGF,83,7.99,1,0,1,NA,1,0,0,2,1,1,384
a0C00000002oLO7,84,2.15,0,0,1,EMEA,0,1,0,1,3,1,60
a0C00000002eLcA,85,2.65,1,0,1,APAC,0,1,0,1,4,0,19
a0C00000002yMJM,86,1.61,0,0,1,EMEA,0,0,1,3,5,1,19
a0C00000002xPZC,87,1.68,1,0,1,NA,1,0,0,1,6,1,170
a0C00000002BMQM,88,3.26,1,0,1,EMEA,1,0,0,1,0,1,323
a0C00000000Dyce,89,7.12,0,0,1,NA,0,1,0,1,4,1,323
a0C000000012S45,90,4.58,1,0,1,EMEA,1,0,0,1,4,1,193
a0C00000000Dg6K,91,8,1,0,1,NA,1,0,0,1,4,1,407
a0C00000002fz9I,92,2.61,0,0,1,NA,0,1,0,1,4,1,94
a0C00000000Dhow,93,7.82,0,0,1,NA,0,1,0,1,3,1,400
a0C00000002oMjF,94,2.15,0,0,1,LATAM,0,1,0,1,0,1,20
a0C000000011A96,95,4.62,1,0,1,NA,0,1,0,1,7,1,159
a0C610000037XKl,96,0.22,0,0,1,NA,1,0,0,1,0,1,2
a0C00000001KT01,97,4.28,0,0,1,APAC,1,0,0,1,6,1,271
a0C00000003NCbk,98,1.07,0,0,1,EMEA,0,1,0,1,0,1,19
a0C00000001CBJp,99,4.41,1,0,1,NA,1,0,0,1,8,1,285
a0C00000000GGD0,100,5.79,1,0,1,EMEA,0,1,0,2,3,0,317
a0C00000001zcI1,101,3.56,1,0,1,APAC,1,0,0,1,11,1,322
a0C00000003NW6P,102,0.93,1,0,1,NA,1,0,0,1,6,1,26
a0C00000002FjRO,103,3.15,0,0,1,EMEA,1,0,0,1,5,1,105
a0C00000000E055,104,7.07,0,0,1,NA,1,0,0,2,2,1,236
a0C00000003NZjv,105,0.82,0,0,1,NA,1,0,0,1,0,1,26
a0C00000000Djmh,106,7.58,0,0,1,NA,0,1,0,2,6,1,36
a0C00000000U4Ri,107,5.42,0,0,1,NA,1,0,0,2,2,1,49
a0C00000001UwB4,108,4.07,1,0,1,NA,1,0,0,1,3,1,71
a0C00000000VFV8,109,5.13,0,0,1,NA,1,0,0,2,0,1,66
a0C00000000E4Is,110,6.96,0,0,1,NA,1,0,0,1,2,1,258
a0C00000002oLOH,111,2.15,0,0,1,EMEA,0,1,0,1,1,1,67
a0C00000002LeMm,112,3.01,1,0,1,EMEA,1,0,0,1,5,1,14
a0C00000000E7Tv,113,6.86,0,0,1,NA,1,0,0,2,2,1,315
a0C00000001cozc,114,3.95,0,0,1,APAC,1,0,0,1,6,1,81
a0C00000002oD7T,115,2.19,0,0,1,EMEA,0,1,0,1,6,1,30
